variable,mean,sd,5.5%,95.5%
b0[1],6.2386181875,0.20342762317482227,5.913254500000001,6.58864755
b0[2],1.6895136925,0.11071396990092645,1.5167681,1.87387225
b0[3],0.777854012,0.10527758204236326,0.61342605,0.96039153
b0[4],0.46015895036,0.14070952352397942,0.236784655,0.7029486249999999
b0[5],-2.499297745,0.9051086617649643,-4.065199,-1.1502989500000003
b1,-4.9880000275,0.5113905024817447,-5.83273085,-4.192470900000001
b2[1],4.8943556925,0.44006232304431747,4.1955756,5.6217768999999995
b2[2],0.969279566675,0.4605381926439636,0.25592451499999996,1.7779967499999991
b2[3],0.6541331205675,0.37764416027491565,0.0470687225,1.3031822999999996
b2[4],1.081919832,0.38766575768883693,0.46233377999999997,1.7404711499999999
b2[5],4.713778115,1.4747653290939617,2.5723382,7.4903664999999995
cutpoints[1],-9.6613334675,0.31025994442786287,-10.1542,-9.14847915
cutpoints[2],-6.8650110175,0.246467046751332,-7.268403299999999,-6.45390365
cutpoints[3],-5.331906015,0.22965386833598123,-5.707573899999999,-4.95057505
cutpoints[4],-4.1903725375,0.22162419796835672,-4.555715350000001,-3.8218145500000005
delta[1],0.793226911,0.06822417945003434,0.67452547,0.8994909149999999
delta[2],0.04726339329375,0.03010638397909317,0.010094129500000002,0.1060743999999998
delta[3],0.061863404901499996,0.03735532446941949,0.014145716000000001,0.136849125
delta[4],0.0976462935575,0.05897127915846251,0.021847942,0.21515879999999984
