variable,mean,sd,5.5%,95.5%
b0[1],3.464558685,0.1011118462969902,3.3003578,3.6362003499999997
b0[2],0.940609052,0.057238024931585585,0.8479453650000001,1.0389509000000001
b0[3],0.4655910275,0.06454346922878229,0.3628715049999999,0.5756393750000001
b0[4],0.299090724525,0.09323019159470566,0.15181052,0.46064536
b0[5],-1.9334831137,0.775164085561263,-3.3119104499999996,-0.803603320000001
b1,-2.930628495,0.3839042581875052,-3.62044425,-2.3696099500000005
b2[1],2.5862875125,0.23746014973488788,2.2097672499999996,2.9911418000000003
b2[2],0.54156740317825,0.27042624985506053,0.106906035,0.9975371349999999
b2[3],0.5178253543801,0.23021877502487512,0.157130105,0.9224373299999997
b2[4],0.80404315415,0.25144866181625697,0.412835525,1.2391549499999999
b2[5],3.6483268355,1.435238940097235,1.6939910500000002,6.406943899999995
cutpoints[1],-5.339192455,0.15386017713479327,-5.5861553,-5.075021250000001
cutpoints[2],-3.8035586475,0.12781066025361248,-4.0075648500000005,-3.5803765
cutpoints[3],-2.926639695,0.11795835543767709,-3.1134588,-2.72514865
cutpoints[4],-2.2595438900000002,0.11371757702527356,-2.4394676,-2.064471
delta[1],0.73699109925,0.08253474221629081,0.597942335,0.86759223
delta[2],0.048586150007,0.031801375143152025,0.00987892825,0.11128864999999993
delta[3],0.074218185269,0.04518062154585058,0.0158857245,0.164328395
delta[4],0.140204575605,0.07912350611126738,0.0321921695,0.29622294999999993
