variable,mean,sd,5.5%,95.5%
b0[1],5.4168656525,0.12064066948963757,5.227153049999999,5.62260495
b0[2],1.4658570125000001,0.07191266789377755,1.35299945,1.5873466499999997
b0[3],0.7205155185,0.07415375756088667,0.5997537300000001,0.8499425499999999
b0[4],0.2625121219875,0.08174401312456925,0.1300409,0.40028674999999986
b0[5],-3.625637985,0.4905542093955863,-4.459304449999999,-2.85225595
b1,-3.477283055,0.21186057451724158,-3.82442695,-3.1237903
cutpoints[1],-8.382558625,0.18077189994413326,-8.67230515,-8.079440199999999
cutpoints[2],-6.0836368525,0.14907133991772015,-6.32270375,-5.8326674
cutpoints[3],-4.707488595,0.13620612819423872,-4.9267455,-4.48163615
cutpoints[4],-3.68393255,0.13209413854939694,-3.89505605,-3.45880605
delta[1],0.901873221,0.035283945892985155,0.841428965,0.954659135
delta[2],0.026811454263,0.017613253282469273,0.005366902849999999,0.06140491299999996
delta[3],0.02899986867425,0.019441385706460663,0.005737004950000001,0.068109359
delta[4],0.04231546063375,0.028095204528977978,0.00816285545,0.09912894749999979
