Parameter,mean,sd,5.5%,94.5%,rhat,ess_bulk
b0[1],5.7094313575,0.12865978996221186,5.504921749999999,5.91331585,0.9997808086635792,1853.5919160785932
b0[2],1.48793999,0.07368429814348594,1.3714983499999998,1.6073588,1.0016371003174027,2277.356860828321
b0[3],0.71824205975,0.07511547100010804,0.5984033,0.839331895,1.0014168944780273,2379.915996190914
b0[4],0.247029257005,0.08257133696281523,0.112609245,0.37706353000000015,1.0008999653655295,2534.8401839330336
b0[5],-4.5148164075,0.7609446013745083,-5.795915450000001,-3.391078199999999,0.9998073415678452,3181.3590444197775
b1,-3.92539546,0.2506655661979877,-4.3412283,-3.5464901,1.000939587140271,1778.0515451823753
cutpoints[1],-8.8199161125,0.1944866290632429,-9.12733605,-8.508071900000001,1.0002360924116807,1725.7983835962586
cutpoints[2],-6.44685207,0.15978287681271025,-6.7057833,-6.188680199999999,0.9997995774670336,1991.528167730789
cutpoints[3],-5.036578175,0.14635570246348542,-5.267417050000001,-4.8003367,1.0000472678968535,2017.889093778676
cutpoints[4],-3.993469805,0.14092732106521302,-4.218300999999999,-3.77041075,0.9998328991493698,2230.4413096014
delta[1],0.88621034475,0.04089808775338241,0.81466951,0.9442255949999999,1.0004323531795987,2403.261658297931
delta[2],0.0265406807035,0.017270299016080935,0.005367729999999999,0.058210346500000065,1.0005847910985244,3844.709459570924
delta[3],0.03100533035925,0.020685577539345662,0.0063990393,0.069649906,1.0001979413989304,4497.791783680663
delta[4],0.05624364673225,0.03508448729626727,0.012331623499999998,0.12020157500000002,1.0005210348832485,2493.1630734913592
