variable,mean,sd,5.5%,95.5%
b0[1],3.23429601,0.06554283844057726,3.1307494499999997,3.34468045
b0[2],0.80822316225,0.04503722236985339,0.73692589,0.88345407
b0[3],0.427302546,0.05699333149916074,0.3342,0.52413716
b0[4],0.2557645364325,0.08551692557470003,0.11827504,0.3977819299999999
b0[5],-2.13082152625,0.5392525441864973,-3.0580507,-1.3097133500000002
b1,-2.424587175,0.20107958967897696,-2.7716709999999996,-2.1155881500000002
b2,-0.070764501271275,0.04732540179020416,-0.14689964,0.008330042399999968
b3[1],2.390169525,0.2182795609936058,2.04169305,2.7541654
b3[2],0.32444304641275,0.18542658194891823,0.026773673499999998,0.635432035
b3[3],0.426731809718,0.19212583678233916,0.11983748999999999,0.7513780449999999
b3[4],0.599952372221,0.2122030987646377,0.26468298500000004,0.9542253049999998
b3[5],1.8155836765,0.6180584508922463,0.9381077200000001,2.98344905
cutpoints[1],-4.906799375,0.10350874852598078,-5.0686744,-4.732578199999999
cutpoints[2],-3.5639923525,0.0891450085713106,-3.7028449500000002,-3.41266865
cutpoints[3],-2.740693175,0.08365686767412844,-2.8733388,-2.59753245
cutpoints[4],-2.11845508,0.08112128795503355,-2.24403255,-1.98117955
delta[1],0.83176571525,0.058631889761194884,0.732396265,0.920359755
delta[2],0.03347958014125,0.022102804904984823,0.00660276035,0.07928934999999998
delta[3],0.05150446813175,0.03320453644674079,0.0105240035,0.11894145999999993
delta[4],0.08325024277175,0.05210565460961745,0.017081699,0.18995436499999996
